,autor,libro,metaTL,poema,fragmento,destinatario,texto,AA#1-Espasa(1989)-Roman num.,AA#2-Espasa(1989)-Arabian num.,MM#1-Etc.,MM#2-Etc.,,,,,,,
50101,Antonio Machado,01-Soledades (1899-1907),,(El viajero),,,"Está en la sala familiar, sombría, 
y entre nosotros, el querido hermano 
que en el sueño infantil de un claro día 
vimos partir hacia un país lejano.

Hoy tiene ya las sienes plateadas, 
un gris mechón sobre la angosta frente; 
y la fría inquietud de sus miradas 
revela un alma casi toda ausente. 

Deshójanse las copas otoñales 
del parque mustio y viejo. 
La tarde, tras los húmedos cristales, 
se pinta, y en el fondo del espejo. 

El rostro del hermano se ilumina 
suavemente. ¿Floridos desengaños 
dorados por la tarde que declina? 
¿Ansias de vida nueva en nuevos años? 

¿Lamentará la juventud perdida? 
Lejos quedó —la pobre loba— muerta. 
¿La blanca juventud nunca vivida 
teme, que ha de cantar ante su puerta? 

¿Sonríe al sol de oro 
de la tierra de un sueño no encontrada; 
y ve su nave hender el mar sonoro, 
de viento y luz la blanca vela hinchada? 

Él ha visto las hojas otoñales, 
amarillas, rodar, las olorosas 
ramas del eucalipto, los rosales
que enseñan otra vez sus blancas rosas... 

Y este dolor que añora o desconfía 
el temblor de una lágrima reprime, 
y un resto de viril hipocresía 
en el semblante pálido se imprime. 

Serio retrato en la pared clarea 
todavía. Nosotros divagamos. 
En la tristeza del hogar golpea 
el tictac del reloj. Todos callamos.",I,1,,,,,,,,Soledades (1899-1907),97
50102,Antonio Machado,01-Soledades (1899-1907),,He andado muchos camino,,,"He andado muchos caminos, 
he abierto muchas veredas; 
he navegado en cien mares, 
y atracado en cien riberas. 

En todas partes he visto 
caravanas de tristeza, 
soberbios y melancólicos 
borrachos de sombra negra, 

y pedantones al paño 
que miran, callan, y piensan 
que saben, porque no beben 
el vino de las tabernas. 

Mala gente que camina 
y va apestando la tierra... 

Y en todas partes he visto 
gentes que danzan o juegan, 
cuando pueden, y laboran 
sus cuatro palmos de tierra. 

Nunca, si llegan a un sitio, 
preguntan adonde llegan. 
Cuando caminan, cabalgan 
a lomos de mula vieja, 

y no conocen la prisa 
ni aun en los días de fiesta. 
Donde hay vino, beben vino; 
donde no hay vino, agua fresca. 

Son buenas gentes que viven, 
laboran, pasan y sueñan, 
y en un día como tantos, 
descansan bajo la tierra.",II,2,,,,,,,,Campos de Castilla (1907-1917),165
50103,Antonio Machado,01-Soledades (1899-1907),,La plaza y los naranjos encendidos,,,"La plaza y los naranjos encendidos 
con sus frutas redondas y risueñas. 

Tumulto de pequeños colegiales 
que, al salir en desorden de la escuela, 
llenan el aire de la plaza en sombra 
con la algazara de sus voces nuevas. 

¡Alegría infantil en los rincones 
de las ciudades muertas!... 

¡Y algo nuestro de ayer, que todavía 
vemos vagar por estas calles viejas!",III,3,,,,,,,,Nuevas canciones (1917-1930),209
50104,Antonio Machado,01-Soledades (1899-1907),,(En el entierro de un amigo),,,"Tierra le dieron una tarde horrible 
del mes de julio, bajo el sol de fuego. 

A un paso de la abierta sepultura, 
había rosas de podridos pétalos, 
entre geranios de áspera fragancia 
y roja flor. El cielo 
puro y azul. Corría 
un aire fuerte y seco. 

De los gruesos cordeles suspendido, 
pesadamente, descender hicieron 
el ataúd al fondo de la fosa 
los dos sepultureros... 

Y al reposar sonó con recio golpe, 
solemne, en el silencio. 

Un golpe de ataúd en tierra es algo 
perfectamente serio. 

Sobre la negra caja se rompían 
los pesados terrones polvorientos... 

El aire se llevaba 
de la honda fosa el blanquecino aliento. 

—Y tú, sin sombra ya, z duerme y reposa, 
larga paz a tus huesos... 

Definitivamente, 
duerme un sueño tranquilo y verdadero.",IV,4,,,,,,,,De un Cancionero apócrifo (1924-1936),70
50105,Antonio Machado,01-Soledades (1899-1907),,(Recuerdo infantil),,,"Una tarde parda y fría 
de invierno. Los colegiales 
estudian. Monotonía 
de lluvia tras los cristales. 

Es la clase. En un cartel 
se representa a Caín 
fugitivo, y muerto Abel 
junto a una mancha carmín. 

Con timbre sonoro y hueco 
truena el maestro, un anciano 
mal vestido, enjuto y seco, 
que lleva un libro en la mano. 

Y todo un coro infantil 
va cantando la lección: 
”mil veces ciento, cien mil, 
mil veces mil, un millón”. 

Una tarde parda y fría 
de invierno. Los colegiales 
estudian. Monotonía 
de la lluvia en los cristales.",V,5,,,,,,,,[PS]-[Soledades (1898-1907)],32
50106,Antonio Machado,01-Soledades (1899-1907),,"Fue una clara tarde, triste y soñolienta",,,"Fue una clara tarde, triste y soñolienta 
tarde de verano. La hiedra asomaba 
al muro del parque, negra y polvorienta... 

La fuente sonaba. 
Rechinó en la vieja cancela mi llave; 
con agrio ruido abrióse la puerta 
de hierro mohoso y, al cerrarse, grave 
golpeó el silencio de la tarde muerta. 
En el solitario parque, la sonora 
copla borbollante del agua cantora 
me guió a la fuente. La fuente vertía 
sobre el blanco mármol su monotonía. 

La fuente cantaba: ¿Te recuerda, hermano, 
un sueño lejano mi canto presente? 
Fue una tarde lenta del lento verano. 

Respondí a la fuente: 
No recuerdo, hermana, 
mas sé que tu copla presente es lejana. 

Fue esta misma tarde: mi cristal vertía 
como hoy sobre el mármol su monotonía. 
¿Recuerdas, hermano?... Los mirtos talares, 
que ves, sombreaban los claros cantares 
que escuchas. Del rubio color de la llama, 
el fruto maduro pendía en la rama, 
lo mismo que ahora. ¿Recuerdas, hermano?... 
Fue esta misma lenta tarde de verano. 

—No sé qué me dice tu copla riente 
de ensueños lejanos, hermana la fuente. 

Yo sé que tu claro cristal de alegría 
ya supo del árbol la fruta bermeja; 
yo sé que es lejana la amargura mía 
que sueña en la tarde de verano vieja. 

Yo sé que tus bellos espejos cantores 
copiaron antiguos delirios de amores: 
mas cuéntame, fuente de lengua encantada, 
cuéntame mi alegre leyenda olvidada. 

—Yo no sé leyendas de antigua alegría,
sino historias viejas de melancolía. 

Fue una clara tarde del lento verano... 
Tú venías solo con tu pena, hermano; 
tus labios besaron mi linfa serena, 
y en la clara tarde dijeron tu pena. 

Dijeron tu pena tus labios que ardían; 
la sed que ahora tienen, entonces tenían. 

—Adiós para siempre la fuente sonora, 
del parque dormido eterna cantora. 
Adiós para siempre; tu monotonía, 
fuente, es más amarga que la pena mía. 

Rechinó en la vieja cancela mi llave; 
con agrio ruïdo abrióse la puerta 
de hierro mohoso y, al cerrarse, grave. 
sonó en el silencio de la tarde muerta.",VI,6,,,,,,,,[PS]-[Campos de Castilla (1907-1917)],32
50107,Antonio Machado,01-Soledades (1899-1907),,El limonero lánguido suspende,,,"El limonero lánguido suspende 
una pálida rama polvorienta, 
sobre el encanto de la fuente limpia, 
y allá en el fondo sueñan 
los frutos de oro... 

Es una tarde clara, 
casi de primavera, 
tibia tarde de marzo 
que el hálito de abril cercano lleva; 
y estoy solo, en el patio silencioso, 
buscando una ilusión cándida y vieja: 
alguna sombra sobre el blanco muro, 
algún recuerdo, en el pretil de piedra 
de la fuente dormido, o, en el aire, 
algún vagar de túnica ligera. 

En el ambiente de la tarde flota 
ese aroma de ausencia, 
que dice al alma luminosa: nunca, 
y al corazón: espera. 

Ese aroma que evoca los fantasmas 
de las fragancias vírgenes y muertas. 

Sí, te recuerdo, tarde alegre y clara, 
casi de primavera, 
tarde sin flores, cuando me traías 
el buen perfume de la hierbabuena, 
y de la buena albahaca, 
que tenía mi madre en sus macetas. 

Que tú me viste hundir mis manos puras 
en el agua serena, 
para alcanzar los frutos encantados 
que hoy en el fondo de la fuente sueñan... 
Sí, te conozco tarde alegre y clara, 
casi de primavera.",VII,7,,,,,,,,[PS]-[Nuevas canciones y primer Cancionero apócrifo (1917-1930)],57
50108,Antonio Machado,01-Soledades (1899-1907),,Yo escucho los cantos,,,"Yo escucho los cantos 
de viejas cadencias, 
que los niños cantan 
cuando en coro juegan, 
y vierten en coro 
sus almas que sueñan, 
cual vierten sus aguas 
las fuentes de piedra: 
con monotonías 
de risas eternas, 
que no son alegres, 
con lágrimas viejas, 
que no son amargas 
y dicen tristezas, 
tristezas de amores 
de antiguas leyendas. 

En los labios niños, 
las canciones llevan 
confusa la historia 
y clara la pena; 
como clara el agua 
lleva su conseja 
de viejos amores, 
que nunca se cuentan. 

Jugando, a la sombra 
de una plaza vieja, 
los niños cantaban... 

La fuente de piedra 
vertía su eterno 
cristal de leyenda. 

Cantaban los niños 
canciones ingenuas, 
de un algo que pasa 
y que nunca llega: 
la historia confusa 
y clara la pena. 

Seguía su cuento
la fuente serena; 
borrada la historia, 
contaba la pena.",VIII,8,,,,,,,,[PS]-[De un cancionero apócrifo (1923-1936)],36
50109,Antonio Machado,01-Soledades (1899-1907),,(Orillas del Duero),,,"Se ha asomado una cigüeña a lo alto del campanario. 
Girando en torno a la torre y al caserón solitario, 
ya las golondrinas chillan. Pasaron del blanco invierno, 
de nevascas y ventiscas los crudos soplos de infierno. 

Es una tibia mañana. 
El sol calienta un poquito la pobre tierra soriana. 

Pasados los verdes pinos, 
casi azules, primavera 
se ve brotar en los finos 
chopos de la carretera 
y del río. El Duero corre, terso y mudo, mansamente. 
El campo parece, más que joven, adolescente. 

Entre las hierbas alguna humilde flor ha nacido, 
azul o blanca. ¡Belleza del campo apenas florido, 
y mística primavera! 

¡Chopos del camino blanco, álamos de la ribera, 
espuma de la montaña 
ante la azul lejanía, 
sol del día, claro día! 
¡Hermosa tierra de España!",IX,9,,,,,,,,[PS]-[Poesías de la guerra (1936-1939)],28
50110,Antonio Machado,01-Soledades (1899-1907),,A la desierta plaza,,,"A la desierta plaza 
conduce un laberinto de callejas. 
A un lado, el viejo paredón sombrío 
de una ruinosa iglesia; 
a otro lado, la tapia blanquecina 
de un huerto de cipreses y palmeras, 
y, frente a mí, la casa, 
y en la casa, la reja, 
ante el cristal que levemente empaña 
su figurilla plácida y risueña. 
Me apartaré. No quiero 
llamar a tu ventana... Primavera 
viene --su veste blanca 
flota en el aire de la plaza muerta--; 
viene a encender las rosas 
rojas de tus rosales... Quiero verla...
",X,10,,,,,,,,,726
